,State,"AI Office: The government should establish an AI office to study AI’s impacts on society, evaluate frontier AI systems for risks, and make non-binding recommendations to AI developers about how to reduce societal risks.",Funding: Governments should establish programs for funding scientific research on understanding and mitigating the societal risks of AI.,System registration: Companies who make frontier AI systems should be required to register those systems with the government.,Risk-management policies: Companies developing frontier AI systems should be required to write and publicly share reports on their company policies for assessing and managing societal risks.,System documentation: AI companies should be required to write and publicly share reports about what uses their frontier AI systems are designed for and how they are meant to behave.,Risk assessment reports: AI companies should be required to write and publicly share risk assessment reports for their frontier systems.,Third-party evaluations: AI companies building frontier models should be required to have a third party evaluate them for risks and publicly share a report on their findings.,Government approval: Companies developing frontier AI systems should be required to submit reports on risk evaluations and obtain government approval from a designated AI office before deploying their systems.,Safety requirements: Government AI agencies should have the authority to make and enforce concrete safety standards for frontier AI systems.,"Staged deployment: Companies deploying frontier AI systems should be required to deploy them gradually in stages and monitor impacts at each stage. 
For example, developers could be required to first release a system with limited access to users before giving users full access later.","Content labeling: To inform humans about what kind of content they are viewing, AI-generated content (images, videos, text) should be required to be clearly labeled as AI-generated.","File labeling: To help track the origins of data (known as digital forensics), regulators should require that AI-generated content (images, videos, text) are saved using file formats which indicate that they are AI-generated.","Shutdown procedures: AI companies building autonomous frontier AI systems should be required to report on what, if any, shutdown procedures they have in place for them.",Whistleblower protections: Policymakers should establish legal protections for employees of AI companies who raise concerns about company risk management practices or report potential violations of laws.,Q45,Incident reporting: AI companies building frontier models should be required to publicly report on incidents which involve harms to humans health or large economic damages.,Direct liability: AI companies should be held liable for direct harms caused by their systems as if those systems were their employees.,Indirect liability: Companies that make frontier AI systems should be held legally responsible for indirect damages their systems cause if it a court establishes that the company could have anticipated these problems.,"Slower development: Should governments work to slow down the development of AI until we have more protections in place to reduce risks, even if it delays benefits of the new technology?",What is your age?,What best describes your gender?,What best describes the highest level of education you have completed?,What best describes your employment status?,"What industry sector(s), if any, do you have work experience in? (if employed):",What best describes your familiarity with AI technology?,What best describes how often you interact with AI systems such as ChatGPT in your daily life?,What best describes your political orientation?,What best describes where you live?
10,CA,Support,Neutral,Support,Support,Support,Support,Strongly Support,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Neutral,35-44,Female,Associate's degree,Self-employed,Other,Very familiar,Approximately daily or more,Moderate,Rural
11,CA,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,35-44,Male,Associate's degree,Employed full-time,Manufacturing,Very familiar,Approximately weekly,Very liberal,Urban
12,CA,Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,18-24,Nonbinary,"Some college, no degree",Unemployed,Not applicable,Very familiar,Almost never,Very liberal,Urban
13,CA,Neutral,Support,Neutral,Neutral,Support,Support,Support,Oppose,Neutral,Support,Support,Support,Support,Strongly Support,Neutral,Strongly Support,Neutral,Support,Oppose,35-44,Male,Professional degree,Employed full-time,Education,Very familiar,Approximately daily or more,Moderate,Suburban
14,CA,Strongly Support,Support,Support,Support,Support,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Neutral,45-54,Male,"Some college, no degree",Employed part-time,"Education,Finance/Banking,Retail",Moderately familiar,Approximately monthly,Very liberal,Urban
15,CA,Neutral,Neutral,Support,Support,Support,Support,Support,Neutral,Neutral,Support,Support,Support,Support,Support,Neutral,Support,Strongly Support,Support,Neutral,55-64,Female,Bachelor's degree,Retired,"Technology/IT,Healthcare,Education",Slightly familiar,Approximately weekly,Somewhat liberal,Suburban
16,CA,Oppose,Neutral,Neutral,Support,Support,Neutral,Support,Neutral,Support,Neutral,Support,Neutral,Support,Neutral,Neutral,Oppose,Support,Neutral,Neutral,25-34,Female,Bachelor's degree,Employed full-time,Finance/Banking,Moderately familiar,Approximately daily or more,Very liberal,Urban
17,CA,Neutral,Support,Neutral,Support,Neutral,Neutral,Neutral,Support,Strongly Support,Neutral,Support,Support,Support,Strongly Support,Neutral,Support,Neutral,Neutral,Neutral,45-54,Male,Bachelor's degree,Self-employed,Finance/Banking,Moderately familiar,Approximately weekly,Moderate,Urban
18,CA,Strongly Support,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Support,Support,Strongly Support,Neutral,Support,Support,Support,Support,25-34,Female,Bachelor's degree,Student,Not applicable,Very familiar,Approximately daily or more,Somewhat liberal,Suburban
19,CA,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Support,Strongly Support,25-34,Male,Bachelor's degree,Employed full-time,"Finance/Banking,Retail",Very familiar,Approximately daily or more,Very liberal,Suburban
20,CA,Neutral,Support,Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Neutral,Oppose,Support,Strongly Oppose,Strongly Oppose,Support,Neutral,Neutral,Neutral,Neutral,Oppose,35-44,Male,Master's degree,Employed full-time,Technology/IT,Moderately familiar,Approximately monthly,Moderate,Suburban
21,CA,Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,25-34,Female,Bachelor's degree,Student,"Government/Public Sector,Retail",Very familiar,Approximately weekly,Very liberal,Urban
22,CA,Support,Support,Strongly Support,Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Neutral,Neutral,Strongly Support,Neutral,Support,Support,Support,Neutral,25-34,Female,Master's degree,Employed full-time,Healthcare,Moderately familiar,Approximately weekly,Somewhat liberal,Urban
23,CA,Neutral,Neutral,Support,Support,Support,Support,Support,Support,Support,Support,Strongly Support,Strongly Support,Support,Support,Neutral,Support,Support,Support,Neutral,18-24,Male,"Some college, no degree",Student,Not applicable,Moderately familiar,Approximately weekly,Moderate,Suburban
24,CA,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Oppose,Support,Strongly Support,Neutral,Neutral,Support,Support,Support,Oppose,25-34,Male,Bachelor's degree,Employed full-time,Manufacturing,Moderately familiar,Approximately daily or more,Very liberal,Suburban
25,CA,Support,Neutral,Support,Strongly Support,Strongly Support,Support,Support,Neutral,Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Oppose,45-54,Female,"Some college, no degree",Employed full-time,Government/Public Sector,Slightly familiar,Almost never,Somewhat liberal,Suburban
26,CA,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Neutral,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,25-34,Male,Bachelor's degree,Self-employed,"Technology/IT,Government/Public Sector",Moderately familiar,Almost never,Very liberal,Urban
27,CA,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,45-54,Male,Bachelor's degree,Employed full-time,Healthcare,Very familiar,Approximately daily or more,Moderate,Suburban
28,CA,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Neutral,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Oppose,45-54,Female,"Some college, no degree",Self-employed,Other,Moderately familiar,Approximately monthly,Somewhat liberal,Urban
29,CA,Neutral,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Neutral,Neutral,Neutral,25-34,Female,Master's degree,Employed full-time,Technology/IT,Very familiar,Approximately weekly,Somewhat conservative,Urban
30,CA,Oppose,Neutral,Oppose,Neutral,Support,Support,Support,Oppose,Neutral,Neutral,Strongly Support,Neutral,Neutral,Strongly Support,Neutral,Neutral,Support,Neutral,Oppose,25-34,Male,Master's degree,Employed full-time,Technology/IT,Moderately familiar,Approximately weekly,Moderate,Suburban
31,CA,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Support,25-34,Male,Master's degree,Employed full-time,Education,Very familiar,Approximately weekly,Very liberal,Suburban
32,CA,Neutral,Neutral,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,25-34,Male,Bachelor's degree,Employed full-time,"Technology/IT,Other",Very familiar,Approximately weekly,Very liberal,Suburban
33,CA,Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,35-44,Male,Less than high school,Unable to work,Not applicable,Very familiar,Approximately weekly,Very liberal,Rural
34,CA,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Strongly Support,Support,Support,Support,Neutral,Support,Support,Support,Oppose,45-54,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Moderate,Suburban
35,CA,Strongly Support,Support,Support,Oppose,Support,Support,Neutral,Support,Strongly Support,Strongly Support,Support,Strongly Support,Support,Support,Neutral,Support,Strongly Support,Support,Support,25-34,Female,Bachelor's degree,Employed full-time,"Technology/IT,Healthcare",Very familiar,Approximately weekly,Moderate,Suburban
36,CA,Strongly Oppose,Support,Neutral,Neutral,Neutral,Oppose,Support,Oppose,Neutral,Support,Support,Support,Support,Support,Neutral,Support,Oppose,Oppose,Oppose,25-34,Male,High school graduate or equivalent,Employed full-time,Government/Public Sector,Very familiar,Approximately weekly,Moderate,Urban
37,CA,Support,Support,Neutral,Support,Support,Strongly Support,Strongly Support,Strongly Oppose,Support,Strongly Oppose,Support,Oppose,Support,Support,Neutral,Support,Neutral,Oppose,Strongly Oppose,35-44,Male,Bachelor's degree,Self-employed,Technology/IT,Very familiar,Approximately daily or more,Somewhat conservative,Urban
38,CA,Support,Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Oppose,35-44,Male,Bachelor's degree,Employed full-time,Technology/IT,Extremely familiar,Approximately daily or more,Moderate,Suburban
39,CA,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,35-44,Nonbinary,Master's degree,Self-employed,Other,Moderately familiar,Approximately weekly,Very liberal,Urban
40,CA,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Oppose,Support,Oppose,Neutral,25-34,Female,Bachelor's degree,Employed full-time,Technology/IT,Moderately familiar,Approximately weekly,Somewhat conservative,Suburban
41,CA,Oppose,Support,Strongly Oppose,Support,Strongly Support,Support,Support,Oppose,Support,Oppose,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Oppose,Oppose,25-34,Female,Bachelor's degree,Employed full-time,Other,Moderately familiar,Almost never,Moderate,Suburban
42,CA,Support,Strongly Oppose,Oppose,Support,Support,Support,Strongly Oppose,Oppose,Neutral,Strongly Support,Strongly Support,Neutral,Neutral,Strongly Support,Neutral,Strongly Support,Strongly Support,Oppose,Support,25-34,Female,High school graduate or equivalent,Employed part-time,Retail,Extremely familiar,Approximately daily or more,Somewhat conservative,Suburban
43,CA,Support,Strongly Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Strongly Support,Support,Oppose,Neutral,Support,Strongly Support,Oppose,Support,18-24,Male,Bachelor's degree,Employed full-time,Healthcare,Moderately familiar,Approximately weekly,Somewhat liberal,Suburban
44,CA,Support,Support,Support,Support,Support,Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Neutral,35-44,Nonbinary,Doctorate,Unemployed,Other,Moderately familiar,Approximately monthly,Very liberal,Suburban
45,CA,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Support,Support,Support,Support,35-44,Male,Bachelor's degree,Employed full-time,Other,Moderately familiar,Approximately weekly,Moderate,Urban
46,CA,Support,Support,Support,Support,Support,Support,Support,Strongly Support,Strongly Support,Support,Support,Support,Strongly Support,Support,Neutral,Support,Support,Neutral,Support,25-34,Male,Bachelor's degree,Self-employed,"Technology/IT,Healthcare,Finance/Banking,Retail",Very familiar,Approximately weekly,Moderate,Suburban
47,CA,Support,Support,Neutral,Support,Support,Support,Support,Neutral,Support,Support,Support,Support,Support,Strongly Support,Neutral,Support,Support,Support,Support,25-34,Male,Bachelor's degree,Employed full-time,Other,Moderately familiar,Approximately monthly,Somewhat liberal,Suburban
48,CA,Support,Support,Support,Support,Support,Support,Support,Neutral,Neutral,Neutral,Neutral,Support,Neutral,Strongly Support,Neutral,Support,Strongly Support,Neutral,Neutral,45-54,Female,Master's degree,Employed full-time,Education,Slightly familiar,Approximately daily or more,Moderate,Urban
49,CA,Oppose,Oppose,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Strongly Support,Oppose,35-44,Male,"Some college, no degree",Employed full-time,Retail,Moderately familiar,Approximately weekly,Moderate,Urban
50,CA,Support,Strongly Support,Support,Support,Support,Support,Support,Support,Strongly Support,Support,Support,Support,Support,Strongly Support,Neutral,Support,Support,Strongly Support,Support,35-44,Female,Bachelor's degree,Employed full-time,Government/Public Sector,Moderately familiar,Approximately daily or more,Somewhat liberal,Urban
51,CA,Strongly Support,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Support,Neutral,25-34,Male,Bachelor's degree,Employed full-time,Healthcare,Slightly familiar,Approximately monthly,Somewhat liberal,Urban
52,CA,Support,Support,Neutral,Neutral,Neutral,Neutral,Neutral,Oppose,Support,Neutral,Support,Neutral,Neutral,Support,Neutral,Support,Support,Support,Oppose,25-34,Male,Bachelor's degree,Employed full-time,Technology/IT,Very familiar,Approximately daily or more,Somewhat liberal,Urban
53,CA,Strongly Oppose,Oppose,Strongly Oppose,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Oppose,55-64,Female,High school graduate or equivalent,Employed part-time,Education,Very familiar,Approximately daily or more,Moderate,Suburban
54,CA,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Support,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,35-44,Female,Bachelor's degree,Prefer not to say,Prefer not to say,Slightly familiar,Almost never,Somewhat liberal,Urban
55,CA,Support,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Support,Support,Support,Support,Support,Strongly Support,Support,Neutral,Support,Neutral,Neutral,Oppose,65+,Male,Bachelor's degree,Retired,Technology/IT,Very familiar,Approximately daily or more,Moderate,Suburban
56,CA,Support,Oppose,Strongly Support,Strongly Support,Support,Support,Strongly Support,Neutral,Support,Oppose,Strongly Support,Neutral,Support,Oppose,Neutral,Support,Strongly Support,Support,Strongly Support,25-34,Male,Bachelor's degree,Employed full-time,Government/Public Sector,Moderately familiar,Approximately weekly,Moderate,Urban
57,CA,Neutral,Neutral,Neutral,Support,Support,Support,Support,Neutral,Neutral,Support,Strongly Support,Strongly Support,Strongly Support,Support,Neutral,Strongly Support,Strongly Support,Support,Oppose,65+,Male,High school graduate or equivalent,Employed part-time,Other,Slightly familiar,Almost never,Very conservative,Rural
58,CA,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,55-64,Female,Master's degree,Unemployed,Not applicable,Moderately familiar,Approximately weekly,Very liberal,Suburban
59,CA,Support,Neutral,Oppose,Support,Support,Strongly Support,Support,Oppose,Neutral,Neutral,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Neutral,Neutral,Support,25-34,Female,High school graduate or equivalent,Unemployed,Other,Extremely familiar,Approximately weekly,Very liberal,Suburban
60,CA,Neutral,Neutral,Neutral,Support,Support,Strongly Support,Support,Neutral,Oppose,Support,Strongly Support,Neutral,Neutral,Support,Neutral,Support,Neutral,Neutral,Oppose,25-34,Nonbinary,Bachelor's degree,Self-employed,"Education,Other",Moderately familiar,Almost never,Somewhat liberal,Suburban
61,CA,Support,Support,Support,Oppose,Support,Support,Strongly Oppose,Neutral,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Support,Oppose,Oppose,Strongly Oppose,35-44,Male,Bachelor's degree,Employed full-time,Other,Very familiar,Approximately daily or more,Somewhat conservative,Rural
62,CA,Support,Support,Neutral,Strongly Support,Neutral,Support,Strongly Support,Neutral,Oppose,Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Neutral,Strongly Support,Support,Oppose,Strongly Oppose,25-34,Male,"Some college, no degree",Unemployed,Not applicable,Moderately familiar,Approximately daily or more,Very liberal,Suburban
63,CA,Neutral,Support,Support,Support,Strongly Support,Strongly Support,Support,Support,Neutral,Neutral,Strongly Support,Strongly Support,Support,Support,Neutral,Strongly Support,Neutral,Neutral,Neutral,35-44,Male,Bachelor's degree,Employed full-time,Other,Very familiar,Approximately daily or more,Moderate,Urban
64,CA,Strongly Support,Strongly Support,Support,Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Support,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Support,Neutral,Strongly Oppose,55-64,Female,Master's degree,Employed part-time,Other,Very familiar,Approximately monthly,Somewhat liberal,Suburban
65,CA,Support,Strongly Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Neutral,Neutral,Neutral,Support,Neutral,Support,25-34,Female,Bachelor's degree,Employed part-time,Finance/Banking,Moderately familiar,Approximately monthly,Somewhat conservative,Urban
66,CA,Neutral,Strongly Oppose,Strongly Oppose,Neutral,Support,Support,Support,Neutral,Neutral,Neutral,Strongly Support,Strongly Support,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,45-54,Female,High school graduate or equivalent,Retired,Not applicable,Slightly familiar,Almost never,Somewhat conservative,Urban
67,CA,Support,Strongly Support,Support,Support,Support,Support,Strongly Support,Support,Support,Support,Strongly Support,Support,Support,Support,Neutral,Strongly Support,Support,Support,Support,35-44,Male,Bachelor's degree,Employed full-time,"Education,Government/Public Sector",Extremely familiar,Approximately weekly,Very conservative,Suburban
68,CA,Strongly Oppose,Strongly Oppose,Strongly Support,Support,Strongly Support,Support,Strongly Support,Support,Strongly Support,Oppose,Support,Support,Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Neutral,Neutral,25-34,Nonbinary,"Some college, no degree",Self-employed,"Retail,Other",Slightly familiar,Approximately monthly,Moderate,Suburban
69,CA,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Support,Support,Support,Support,Support,Support,Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Neutral,35-44,Female,Bachelor's degree,Employed full-time,"Healthcare,Education,Manufacturing,Retail",Slightly familiar,Approximately monthly,Somewhat liberal,Suburban
70,CA,Oppose,Strongly Oppose,Neutral,Strongly Support,Support,Strongly Support,Strongly Support,Oppose,Neutral,Neutral,Support,Support,Neutral,Strongly Support,Neutral,Support,Strongly Support,Support,Oppose,25-34,Female,Associate's degree,Employed full-time,Retail,Slightly familiar,Approximately monthly,Somewhat conservative,Rural
71,CA,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Support,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Support,Neutral,Support,Oppose,Strongly Oppose,Strongly Oppose,55-64,Male,"Some college, no degree",Employed part-time,Other,Very familiar,Approximately daily or more,Very conservative,Suburban
72,CA,Neutral,Neutral,Oppose,Support,Neutral,Strongly Support,Neutral,Support,Support,Strongly Support,Support,Strongly Support,Oppose,Strongly Support,Neutral,Neutral,Strongly Support,Strongly Support,Oppose,35-44,Female,Associate's degree,Employed full-time,Other,Extremely familiar,Approximately weekly,Somewhat liberal,Suburban
73,CA,Support,Support,Oppose,Support,Neutral,Support,Support,Oppose,Strongly Support,Strongly Support,Neutral,Oppose,Strongly Support,Strongly Support,Neutral,Strongly Support,Strongly Support,Strongly Support,Oppose,55-64,Male,Bachelor's degree,Unemployed,Technology/IT,Slightly familiar,Approximately daily or more,Moderate,Suburban
74,CA,Support,Strongly Support,Neutral,Support,Oppose,Support,Neutral,Support,Support,Neutral,Strongly Support,Support,Neutral,Support,Neutral,Strongly Support,Support,Support,Oppose,25-34,Male,"Some college, no degree",Employed full-time,Other,Very familiar,Approximately daily or more,Moderate,Suburban
